Action,File ID,Order ID,Supplier,Plant,Part No,Part Name,Due Date,Order Qty,Package No,Package Qty,Route&Trip,Uploaded By,Uploaded Date
ADD,AD20111104,20200617A001,AUN,Metal,2621969,RR MEMB PIPE RH R/C,17/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200619A003,AUN,Metal,2621969,RR MEMB PIPE RH R/C,19/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200601A003,AUN,Metal,2621970,MAIN PIPE RH R/C,01/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200604A004,AUN,Metal,2621970,MAIN PIPE RH R/C,04/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200605A004,AUN,Metal,2621970,MAIN PIPE RH R/C,05/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200608A003,AUN,Metal,2621970,MAIN PIPE RH R/C,08/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200609A003,AUN,Metal,2621970,MAIN PIPE RH R/C,09/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200611A004,AUN,Metal,2621970,MAIN PIPE RH R/C,11/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200615A003,AUN,Metal,2621970,MAIN PIPE RH R/C,15/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200617A002,AUN,Metal,2621970,MAIN PIPE RH R/C,17/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200619A004,AUN,Metal,2621970,MAIN PIPE RH R/C,19/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200601A004,AUN,Metal,2622069,RR MEMB PIPE LH R/C,01/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200608A001,AUN,Metal,2527824,SUPPORT TUBE UPR,08/06/2020,300,packagesNo,30.00,1,Batman,11/11/2020
DELETE,AD20111104,20200608A001,AUN,Metal,2527824,SUPPORT TUBE UPR,08/06/2020,300,packagesNo,30.00,1,Batman,11/11/2020
ADD,AD20111104,20200602A002,AUN,Metal,2622069,RR MEMB PIPE LH R/C,02/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200608A004,AUN,Metal,2622069,RR MEMB PIPE LH R/C,08/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200609A004,AUN,Metal,2622069,RR MEMB PIPE LH R/C,09/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200610A001,AUN,Metal,2622069,RR MEMB PIPE LH R/C,10/06/2020,75,packagesNo,8.00,1,Batman,11/11/2020
ADD,AD20111104,20200611A005,AUN,Metal,2622069,RR MEMB PIPE LH R/C,11/06/2020,75,packagesNo,8.00,1,Batman,11/11/2020
ADD,AD20111104,20200615A004,AUN,Metal,2622069,RR MEMB PIPE LH R/C,15/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200617A003,AUN,Metal,2622069,RR MEMB PIPE LH R/C,17/06/2020,75,packagesNo,8.00,1,Batman,11/11/2020
ADD,AD20111104,20200618A001,AUN,Metal,2622069,RR MEMB PIPE LH R/C,18/06/2020,75,packagesNo,8.00,1,Batman,11/11/2020
ADD,AD20111104,20200619A005,AUN,Metal,2622069,RR MEMB PIPE LH R/C,19/06/2020,75,packagesNo,8.00,1,Batman,11/11/2020
ADD,AD20111104,20200601A005,AUN,Metal,2622075,MAIN PIPE LH R/C,01/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200602A003,AUN,Metal,2622075,MAIN PIPE LH R/C,02/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200605A005,AUN,Metal,2622075,MAIN PIPE LH R/C,05/06/2020,40,packagesNo,4.00,1,Batman,11/11/2020
ADD,AD20111104,20200608A005,AUN,Metal,2622075,MAIN PIPE LH R/C,08/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200609A005,AUN,Metal,2622075,MAIN PIPE LH R/C,09/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200610A002,AUN,Metal,2622075,MAIN PIPE LH R/C,10/06/2020,75,packagesNo,8.00,1,Batman,11/11/2020
ADD,AD20111104,20200611A006,AUN,Metal,2622075,MAIN PIPE LH R/C,11/06/2020,75,packagesNo,8.00,1,Batman,11/11/2020
ADD,AD20111104,20200615A005,AUN,Metal,2622075,MAIN PIPE LH R/C,15/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200617A004,AUN,Metal,2622075,MAIN PIPE LH R/C,17/06/2020,75,packagesNo,8.00,1,Batman,11/11/2020
ADD,AD20111104,20200618A002,AUN,Metal,2622075,MAIN PIPE LH R/C,18/06/2020,75,packagesNo,8.00,1,Batman,11/11/2020
ADD,AD20111104,20200619A006,AUN,Metal,2622075,MAIN PIPE LH R/C,19/06/2020,75,packagesNo,8.00,1,Batman,11/11/2020
ADD,AD20111104,20200601A006,AUN,Metal,2621906,MAIN PIPE LH RR BACK,01/06/2020,150,,,1,Batman,11/11/2020
ADD,AD20111104,20200602A004,AUN,Metal,2621906,MAIN PIPE LH RR BACK,02/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200608A006,AUN,Metal,2621906,MAIN PIPE LH RR BACK,08/06/2020,150,,,1,Batman,11/11/2020
ADD,AD20111104,20200609A006,AUN,Metal,2621906,MAIN PIPE LH RR BACK,09/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200610A003,AUN,Metal,2621906,MAIN PIPE LH RR BACK,10/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200615A006,AUN,Metal,2621906,MAIN PIPE LH RR BACK,15/06/2020,150,,,1,Batman,11/11/2020
ADD,AD20111104,20200616A001,AUN,Metal,2621906,MAIN PIPE LH RR BACK,16/06/2020,50,,,1,Batman,11/11/2020
ADD,AD20111104,20200617A005,AUN,Metal,2621906,MAIN PIPE LH RR BACK,17/06/2020,50,,,1,Batman,11/11/2020
ADD,AD20111104,20200618A003,AUN,Metal,2621906,MAIN PIPE LH RR BACK,18/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200619A007,AUN,Metal,2621906,MAIN PIPE LH RR BACK,19/06/2020,50,,,1,Batman,11/11/2020
ADD,AD20111104,20200601A007,AUN,Metal,2621913,CTR PIPE LH RR BACK,01/06/2020,150,,,1,Batman,11/11/2020
ADD,AD20111104,20200602A005,AUN,Metal,2621913,CTR PIPE LH RR BACK,02/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200608A007,AUN,Metal,2621913,CTR PIPE LH RR BACK,08/06/2020,150,,,1,Batman,11/11/2020
ADD,AD20111104,20200609A007,AUN,Metal,2621913,CTR PIPE LH RR BACK,09/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200610A004,AUN,Metal,2621913,CTR PIPE LH RR BACK,10/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200615A007,AUN,Metal,2621913,CTR PIPE LH RR BACK,15/06/2020,150,,,1,Batman,11/11/2020
ADD,AD20111104,20200616A002,AUN,Metal,2621913,CTR PIPE LH RR BACK,16/06/2020,50,,,1,Batman,11/11/2020
ADD,AD20111104,20200617A006,AUN,Metal,2621913,CTR PIPE LH RR BACK,17/06/2020,50,,,1,Batman,11/11/2020
ADD,AD20111104,20200618A004,AUN,Metal,2621913,CTR PIPE LH RR BACK,18/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200619A008,AUN,Metal,2621913,CTR PIPE LH RR BACK,19/06/2020,50,,,1,Batman,11/11/2020
ADD,AD20111104,20200602A006,AUN,Metal,2521817,TUBE LWR RR SEAT BACK,02/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200604A005,AUN,Metal,2521817,TUBE LWR RR SEAT BACK,04/06/2020,150,,,1,Batman,11/11/2020
ADD,AD20111104,20200605A006,AUN,Metal,2521817,TUBE LWR RR SEAT BACK,05/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200608A008,AUN,Metal,2521817,TUBE LWR RR SEAT BACK,08/06/2020,250,,,1,Batman,11/11/2020
ADD,AD20111104,20200609A008,AUN,Metal,2521817,TUBE LWR RR SEAT BACK,09/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200610A005,AUN,Metal,2521817,TUBE LWR RR SEAT BACK,10/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200611A007,AUN,Metal,2521817,TUBE LWR RR SEAT BACK,11/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200612A002,AUN,Metal,2521817,TUBE LWR RR SEAT BACK,12/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200615A008,AUN,Metal,2521817,TUBE LWR RR SEAT BACK,15/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200616A003,AUN,Metal,2521817,TUBE LWR RR SEAT BACK,16/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200617A007,AUN,Metal,2521817,TUBE LWR RR SEAT BACK,17/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200618A005,AUN,Metal,2521817,TUBE LWR RR SEAT BACK,18/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200619A009,AUN,Metal,2521817,TUBE LWR RR SEAT BACK,19/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200602A007,AUN,Metal,2521825,VERTICAL PIPE A/R 1,02/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200604A006,AUN,Metal,2521825,VERTICAL PIPE A/R 1,04/06/2020,150,,,1,Batman,11/11/2020
ADD,AD20111104,20200605A007,AUN,Metal,2521825,VERTICAL PIPE A/R 1,05/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200608A009,AUN,Metal,2521825,VERTICAL PIPE A/R 1,08/06/2020,250,,,1,Batman,11/11/2020
ADD,AD20111104,20200609A009,AUN,Metal,2521825,VERTICAL PIPE A/R 1,09/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200610A006,AUN,Metal,2521825,VERTICAL PIPE A/R 1,10/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200611A008,AUN,Metal,2521825,VERTICAL PIPE A/R 1,11/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200612A003,AUN,Metal,2521825,VERTICAL PIPE A/R 1,12/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200615A009,AUN,Metal,2521825,VERTICAL PIPE A/R 1,15/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200616A004,AUN,Metal,2521825,VERTICAL PIPE A/R 1,16/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200617A008,AUN,Metal,2521825,VERTICAL PIPE A/R 1,17/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200618A006,AUN,Metal,2521825,VERTICAL PIPE A/R 1,18/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200619A010,AUN,Metal,2521825,VERTICAL PIPE A/R 1,19/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200602A008,AUN,Metal,2521828,VERTICAL PIPE A/R 2,02/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200604A007,AUN,Metal,2521828,VERTICAL PIPE A/R 2,04/06/2020,150,,,1,Batman,11/11/2020
ADD,AD20111104,20200605A008,AUN,Metal,2521828,VERTICAL PIPE A/R 2,05/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200608A010,AUN,Metal,2521828,VERTICAL PIPE A/R 2,08/06/2020,250,,,1,Batman,11/11/2020
ADD,AD20111104,20200609A010,AUN,Metal,2521828,VERTICAL PIPE A/R 2,09/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200610A007,AUN,Metal,2521828,VERTICAL PIPE A/R 2,10/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200611A009,AUN,Metal,2521828,VERTICAL PIPE A/R 2,11/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200612A004,AUN,Metal,2521828,VERTICAL PIPE A/R 2,12/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200615A010,AUN,Metal,2521828,VERTICAL PIPE A/R 2,15/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200616A005,AUN,Metal,2521828,VERTICAL PIPE A/R 2,16/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200617A009,AUN,Metal,2521828,VERTICAL PIPE A/R 2,17/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200618A007,AUN,Metal,2521828,VERTICAL PIPE A/R 2,18/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200619A011,AUN,Metal,2521828,VERTICAL PIPE A/R 2,19/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200602A009,AUN,Metal,2606583,TUBE ASSY UPR RR SEATBACK 3PT BELT,02/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200604A008,AUN,Metal,2606583,TUBE ASSY UPR RR SEATBACK 3PT BELT,04/06/2020,150,,,1,Batman,11/11/2020
ADD,AD20111104,20200605A009,AUN,Metal,2606583,TUBE ASSY UPR RR SEATBACK 3PT BELT,05/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200608A011,AUN,Metal,2606583,TUBE ASSY UPR RR SEATBACK 3PT BELT,08/06/2020,250,,,1,Batman,11/11/2020
ADD,AD20111104,20200609A011,AUN,Metal,2606583,TUBE ASSY UPR RR SEATBACK 3PT BELT,09/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200610A008,AUN,Metal,2606583,TUBE ASSY UPR RR SEATBACK 3PT BELT,10/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200611A010,AUN,Metal,2606583,TUBE ASSY UPR RR SEATBACK 3PT BELT,11/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200612A005,AUN,Metal,2606583,TUBE ASSY UPR RR SEATBACK 3PT BELT,12/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200615A011,AUN,Metal,2606583,TUBE ASSY UPR RR SEATBACK 3PT BELT,15/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200616A006,AUN,Metal,2606583,TUBE ASSY UPR RR SEATBACK 3PT BELT,16/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200617A010,AUN,Metal,2606583,TUBE ASSY UPR RR SEATBACK 3PT BELT,17/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200618A008,AUN,Metal,2606583,TUBE ASSY UPR RR SEATBACK 3PT BELT,18/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200619A012,AUN,Metal,2606583,TUBE ASSY UPR RR SEATBACK 3PT BELT,19/06/2020,200,,,1,Batman,11/11/2020
ADD,AD20111104,20200604A009,AUN,Metal,2549013,TUBE LWR RR SEAT BACK2PT BELT,04/06/2020,120,,,1,Batman,11/11/2020
ADD,AD20111104,20200608A012,AUN,Metal,2549013,TUBE LWR RR SEAT BACK2PT BELT,08/06/2020,180,,,1,Batman,11/11/2020
ADD,AD20111104,20200609A012,AUN,Metal,2549013,TUBE LWR RR SEAT BACK2PT BELT,09/06/2020,120,,,1,Batman,11/11/2020
ADD,AD20111104,20200610A009,AUN,Metal,2549013,TUBE LWR RR SEAT BACK2PT BELT,10/06/2020,120,,,1,Batman,11/11/2020
ADD,AD20111104,20200611A011,AUN,Metal,2549013,TUBE LWR RR SEAT BACK2PT BELT,11/06/2020,60,,,1,Batman,11/11/2020
ADD,AD20111104,20200615A012,AUN,Metal,2549013,TUBE LWR RR SEAT BACK2PT BELT,15/06/2020,120,,,1,Batman,11/11/2020
ADD,AD20111104,20200616A007,AUN,Metal,2549013,TUBE LWR RR SEAT BACK2PT BELT,16/06/2020,120,,,1,Batman,11/11/2020
ADD,AD20111104,20200617A011,AUN,Metal,2549013,TUBE LWR RR SEAT BACK2PT BELT,17/06/2020,120,,,1,Batman,11/11/2020
ADD,AD20111104,20200618A009,AUN,Metal,2549013,TUBE LWR RR SEAT BACK2PT BELT,18/06/2020,120,,,1,Batman,11/11/2020
ADD,AD20111104,20200604A010,AUN,Metal,2597418,VERTICAL PIPE A/R 2PT,04/06/2020,240,,,1,Batman,11/11/2020
ADD,AD20111104,20200608A013,AUN,Metal,2597418,VERTICAL PIPE A/R 2PT,08/06/2020,360,,,1,Batman,11/11/2020
ADD,AD20111104,20200609A013,AUN,Metal,2597418,VERTICAL PIPE A/R 2PT,09/06/2020,240,,,1,Batman,11/11/2020
ADD,AD20111104,20200610A010,AUN,Metal,2597418,VERTICAL PIPE A/R 2PT,10/06/2020,240,,,1,Batman,11/11/2020
ADD,AD20111104,20200611A012,AUN,Metal,2597418,VERTICAL PIPE A/R 2PT,11/06/2020,120,,,1,Batman,11/11/2020
ADD,AD20111104,20200615A013,AUN,Metal,2597418,VERTICAL PIPE A/R 2PT,15/06/2020,240,,,1,Batman,11/11/2020
ADD,AD20111104,20200616A008,AUN,Metal,2597418,VERTICAL PIPE A/R 2PT,16/06/2020,240,,,1,Batman,11/11/2020
ADD,AD20111104,20200617A012,AUN,Metal,2597418,VERTICAL PIPE A/R 2PT,17/06/2020,240,,,1,Batman,11/11/2020
ADD,AD20111104,20200618A010,AUN,Metal,2597418,VERTICAL PIPE A/R 2PT,18/06/2020,240,,,1,Batman,11/11/2020
ADD,AD20111104,20200604A011,AUN,Metal,2622247,TUBE ASSY UPR RR SEATBACK 2PT BELT,04/06/2020,120,,,1,Batman,11/11/2020
ADD,AD20111104,20200608A014,AUN,Metal,2622247,TUBE ASSY UPR RR SEATBACK 2PT BELT,08/06/2020,180,,,1,Batman,11/11/2020
ADD,AD20111104,20200609A014,AUN,Metal,2622247,TUBE ASSY UPR RR SEATBACK 2PT BELT,09/06/2020,120,,,1,Batman,11/11/2020
ADD,AD20111104,20200610A011,AUN,Metal,2622247,TUBE ASSY UPR RR SEATBACK 2PT BELT,10/06/2020,120,,,1,Batman,11/11/2020
ADD,AD20111104,20200611A013,AUN,Metal,2622247,TUBE ASSY UPR RR SEATBACK 2PT BELT,11/06/2020,60,,,1,Batman,11/11/2020
ADD,AD20111104,20200615A014,AUN,Metal,2622247,TUBE ASSY UPR RR SEATBACK 2PT BELT,15/06/2020,120,,,1,Batman,11/11/2020
ADD,AD20111104,20200616A009,AUN,Metal,2622247,TUBE ASSY UPR RR SEATBACK 2PT BELT,16/06/2020,120,,,1,Batman,11/11/2020
ADD,AD20111104,20200617A013,AUN,Metal,2622247,TUBE ASSY UPR RR SEATBACK 2PT BELT,17/06/2020,120,,,1,Batman,11/11/2020
ADD,AD20111104,20200618A011,AUN,Metal,2622247,TUBE ASSY UPR RR SEATBACK 2PT BELT,18/06/2020,120,,,1,Batman,11/11/2020
ADD,AD20111104,20200604A012,AUN,Metal,2521952,MAIN PIPE BACK FR LH/RH,04/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200609A015,AUN,Metal,2521952,MAIN PIPE BACK FR LH/RH,09/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200610A012,AUN,Metal,2521952,MAIN PIPE BACK FR LH/RH,10/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200611A014,AUN,Metal,2521952,MAIN PIPE BACK FR LH/RH,11/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200612A006,AUN,Metal,2521952,MAIN PIPE BACK FR LH/RH,12/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200617A014,AUN,Metal,2521952,MAIN PIPE BACK FR LH/RH,17/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200618A012,AUN,Metal,2521952,MAIN PIPE BACK FR LH/RH,18/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200604A013,AUN,Metal,3058246,ASM WIRE SUPPORTFSB FRM BENCH,04/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200609A016,AUN,Metal,3058246,ASM WIRE SUPPORTFSB FRM BENCH,09/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200610A013,AUN,Metal,3058246,ASM WIRE SUPPORTFSB FRM BENCH,10/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200611A015,AUN,Metal,3058246,ASM WIRE SUPPORTFSB FRM BENCH,11/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200612A007,AUN,Metal,3058246,ASM WIRE SUPPORTFSB FRM BENCH,12/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200617A015,AUN,Metal,3058246,ASM WIRE SUPPORTFSB FRM BENCH,17/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200618A013,AUN,Metal,3058246,ASM WIRE SUPPORTFSB FRM BENCH,18/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200602A010,AUN,Metal,3061037,ASM WIRE SUPPORTFSC FRM BENCH RH,02/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200604A014,AUN,Metal,3061037,ASM WIRE SUPPORTFSC FRM BENCH RH,04/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200608A015,AUN,Metal,3061037,ASM WIRE SUPPORTFSC FRM BENCH RH,08/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200609A017,AUN,Metal,3061037,ASM WIRE SUPPORTFSC FRM BENCH RH,09/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200610A014,AUN,Metal,3061037,ASM WIRE SUPPORTFSC FRM BENCH RH,10/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200611A016,AUN,Metal,3061037,ASM WIRE SUPPORTFSC FRM BENCH RH,11/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200612A008,AUN,Metal,3061037,ASM WIRE SUPPORTFSC FRM BENCH RH,12/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200615A015,AUN,Metal,3061037,ASM WIRE SUPPORTFSC FRM BENCH RH,15/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200616A010,AUN,Metal,3061037,ASM WIRE SUPPORTFSC FRM BENCH RH,16/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200602A011,AUN,Metal,2626450,PIPE SUB-ASSY CUSH RH,02/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200604A015,AUN,Metal,2626450,PIPE SUB-ASSY CUSH RH,04/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200608A016,AUN,Metal,2626450,PIPE SUB-ASSY CUSH RH,08/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200609A018,AUN,Metal,2626450,PIPE SUB-ASSY CUSH RH,09/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200610A015,AUN,Metal,2626450,PIPE SUB-ASSY CUSH RH,10/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200611A017,AUN,Metal,2626450,PIPE SUB-ASSY CUSH RH,11/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200612A009,AUN,Metal,2626450,PIPE SUB-ASSY CUSH RH,12/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200615A016,AUN,Metal,2626450,PIPE SUB-ASSY CUSH RH,15/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200616A011,AUN,Metal,2626450,PIPE SUB-ASSY CUSH RH,16/06/2020,100,,,1,Batman,11/11/2020
ADD,AD20111104,20200604A016,AUN,Metal,2522356,CUSH WIRE -A RH,04/06/2020,150,,,1,Batman,11/11/2020
ADD,AD20111104,20200605A010,AUN,Metal,2522356,CUSH WIRE -A RH,05/06/2020,150,,,1,Batman,11/11/2020
